Row,Column,WELL LABEL,Z,T,Cells Count wv1,Cells Area wv1,Cells Intensity wv1,Cells Max Intensity wv1,Cells Intensity wv2,Cells Max Intensity wv2,Granules Cells with Org wv2,Granules Org per Cell wv2,Granules Area wv2,Granules Total Area wv2,Granules Intensity wv2,All Targets.0 Gran (%),All Targets.0 Gran Count,All Targets.1 Gran (%),All Targets.1 Gran Count,All Targets.>1 Gran (%),All Targets.>1 Gran Count,Plate ID
A,13,A - 13,1,1,638,10.49846277,6281.348448,14318,544.5089506,5196,46,0.084639498,0.206427989,0.016615243,931.2364638,92.78996865,592,6.112852665,39,1.097178683,7,20240502
A,13,A - 13,1,2,780,12.3470425,5967.650601,16416,514.609883,3375,54,0.080769231,0.203551111,0.01701375,952.4494825,93.07692308,726,6.153846154,48,0.769230769,6,20240502
A,13,A - 13,1,3,702,11.43859167,6190.218068,15047,529.9399593,2286,53,0.08974359,0.194443003,0.017068519,871.2484066,92.45014245,649,6.552706553,46,0.997150997,7,20240502
A,13,A - 13,1,4,737,11.4561133,6147.076308,20770,522.763098,2183,38,0.066485753,0.193997917,0.013070556,970.1875804,94.84396201,699,3.934871099,29,1.221166893,9,20240502
A,13,A - 13,1,5,662,9.517827266,6358.259818,21553,535.8761661,5057,25,0.043806647,0.199251,0.009043542,951.3643627,96.22356495,637,3.172205438,21,0.604229607,4,20240502
A,13,A - 13,1,6,661,9.452507489,6369.858635,20578,539.2197986,5349,34,0.055975794,0.159804412,0.009057224,914.8729938,94.85627837,627,4.689863843,31,0.453857791,3,20240502
A,13,A - 13,1,7,655,9.24498374,6377.064029,38771,535.3848913,5104,30,0.048854962,0.206250417,0.009843282,973.6593371,95.41984733,625,4.27480916,28,0.305343511,2,20240502
A,13,A - 13,1,8,652,9.254979141,6418.19294,15086,533.0855743,2350,40,0.06595092,0.16667625,0.010718021,917.0924452,93.86503067,612,5.674846626,37,0.460122699,3,20240502
A,13,A - 13,1,9,674,9.236545809,6387.499583,16536,531.0019372,5206,25,0.044510386,0.210433167,0.0092273,928.802786,96.29080119,649,3.115727003,21,0.59347181,4,20240502
A,13,A - 13,1,10,632,8.640887104,6455.459396,16592,530.0223413,1967,27,0.044303797,0.211171759,0.009285641,921.9568155,95.7278481,605,4.113924051,26,0.158227848,1,20240502
A,13,A - 13,1,11,743,10.25368832,6258.743257,17085,513.278203,2083,44,0.064602961,0.17428125,0.010826918,910.8119389,94.07806191,699,5.383580081,40,0.538358008,4,20240502
A,13,A - 13,1,12,669,9.651857773,6395.626219,16823,521.1116705,2387,46,0.07922272,0.152268388,0.0125108,895.8006007,93.12406577,623,5.979073244,40,0.896860987,6,20240502
A,13,A - 13,1,13,697,9.668200251,6395.553329,16520,515.8940275,1972,45,0.073170732,0.178842685,0.013238737,864.6474752,93.54375897,652,5.738880918,40,0.717360115,5,20240502
A,13,A - 13,1,14,677,9.058618427,6428.538772,15988,519.2790723,2204,33,0.050221566,0.201135606,0.00999771,900.8212584,95.12555391,644,4.726735598,32,0.147710487,1,20240502
A,13,A - 13,1,15,633,8.778742378,6464.646224,15552,520.4390054,2085,26,0.044233807,0.1846,0.007902686,885.1725243,95.89257504,607,3.791469194,24,0.315955766,2,20240502
A,13,A - 13,1,16,684,9.338108589,6365.339332,14842,511.3415626,2116,34,0.052631579,0.188198897,0.009778034,903.2474872,95.02923977,650,4.678362573,32,0.292397661,2,20240502
A,13,A - 13,1,17,556,7.950165782,6556.197709,16362,518.6797444,1804,21,0.044964029,0.157632738,0.007538129,835.2706383,96.22302158,535,3.417266187,19,0.35971223,2,20240502
A,13,A - 13,1,18,669,8.926376644,6342.015454,22247,507.0581437,2181,21,0.041853513,0.214066667,0.008784716,961.6256368,96.86098655,648,2.092675635,14,1.046337818,7,20240502
A,13,A - 13,1,19,576,8.322787891,6493.008603,16524,506.2965936,2185,26,0.059027778,0.180142083,0.009975694,881.8353901,95.48611111,550,3.819444444,22,0.694444444,4,20240502
A,13,A - 13,1,20,614,8.578484039,6424.484759,17163,502.7353262,2219,25,0.053745928,0.225347417,0.012269015,893.1217481,95.92833876,589,3.25732899,20,0.814332248,5,20240502
A,13,A - 13,1,21,600,8.622077208,6390.2949,17388,501.8740793,1922,23,0.048333333,0.161101087,0.0076895,847.1893275,96.16666667,577,3.333333333,20,0.5,3,20240502
A,13,A - 13,1,22,559,8.36895407,6371.766292,17661,495.040048,1841,22,0.044722719,0.167271591,0.00767907,840.6412547,96.06440072,537,3.398926655,19,0.53667263,3,20240502
A,13,A - 13,1,23,520,7.866373125,6413.088049,16106,497.5408561,1997,19,0.046153846,0.148097368,0.007336875,838.3847858,96.34615385,501,3.076923077,16,0.576923077,3,20240502
A,13,A - 13,1,24,489,7.133761299,6506.224725,16625,503.5158636,2174,13,0.030674847,0.196191667,0.006194939,781.9778451,97.34151329,476,2.45398773,12,0.204498978,1,20240502
A,13,A - 13,1,25,479,7.452529541,6517.851831,16378,497.9277198,2031,17,0.041753653,0.178692647,0.007453288,877.206349,96.45093946,462,3.131524008,15,0.417536534,2,20240502
A,13,A - 13,1,26,526,7.53961692,6414.115164,17373,486.4026806,2203,16,0.034220532,0.141009375,0.004747101,810.7847313,96.9581749,510,2.661596958,14,0.380228137,2,20240502
A,13,A - 13,1,27,474,7.236925844,6464.210099,16112,490.9505742,2233,18,0.042194093,0.146936111,0.006711867,839.9218113,96.20253165,456,3.375527426,16,0.421940928,2,20240502
A,13,A - 13,1,28,447,7.268682438,6517.337128,15854,489.0495452,1703,11,0.024608501,0.182059091,0.004480201,774.5200249,97.53914989,436,2.460850112,11,0,0,20240502
A,13,A - 13,1,29,459,7.74552037,6420.079542,16833,490.7917195,1527,13,0.034858388,0.14495,0.005265142,841.407141,97.16775599,446,2.178649237,10,0.653594771,3,20240502
A,13,A - 13,1,30,506,7.972424704,6337.140199,19669,483.172601,1553,16,0.035573123,0.168383854,0.00592001,882.4291963,96.83794466,490,2.964426877,15,0.197628458,1,20240502
A,13,A - 13,1,31,524,8.410975191,6260.151777,20226,482.3488065,2070,13,0.028625954,0.220458333,0.006732586,915.6171417,97.51908397,511,2.290076336,12,0.190839695,1,20240502
A,13,A - 13,1,32,424,7.453906427,6420.199072,17092,480.3995593,1634,9,0.023584906,0.177215278,0.004334611,895.6736333,97.87735849,415,1.886792453,8,0.235849057,1,20240502
A,13,A - 13,1,33,428,7.755629147,6428.835059,17684,488.7663324,1964,11,0.028037383,0.194542045,0.005468808,902.7828584,97.42990654,417,2.336448598,10,0.23364486,1,20240502
A,13,A - 13,1,34,418,7.114627093,6412.950592,14527,494.3138066,1786,9,0.023923445,0.206086111,0.00504372,932.1226505,97.84688995,409,1.913875598,8,0.23923445,1,20240502
A,13,A - 13,1,35,434,7.620215841,6233.941179,15621,493.4776562,1875,12,0.032258065,0.122172917,0.003971889,941.095466,97.23502304,422,2.304147465,10,0.460829493,2,20240502
A,13,A - 13,1,36,381,7.469112467,6486.868982,16203,496.8779787,1880,6,0.015748031,0.107033333,0.001685564,960.7819215,98.42519685,375,1.57480315,6,0,0,20240502
A,13,A - 13,1,37,363,7.236610262,6391.46533,16418,503.7587826,1774,5,0.013774105,0.169845,0.002339463,993.8062439,98.62258953,358,1.377410468,5,0,0,20240502
A,13,A - 13,1,38,408,7.758549755,6231.80119,17977,500.7194715,1744,12,0.031862745,0.18061875,0.005498713,1025.579263,97.05882353,396,2.696078431,11,0.245098039,1,20240502
A,13,A - 13,1,39,343,7.807147157,6366.059137,38778,501.0742017,5479,9,0.034985423,0.264140741,0.008856487,1059.410877,97.37609329,334,2.040816327,7,0.583090379,2,20240502
A,13,A - 13,1,40,363,7.563972107,6321.617979,17961,505.599945,2044,9,0.03030303,0.163992593,0.004865152,987.7711832,97.52066116,354,2.203856749,8,0.275482094,1,20240502
A,13,A - 13,1,41,304,6.984800576,6346.791953,16756,511.5058464,1832,9,0.029605263,0.175102778,0.005183964,956.2370597,97.03947368,295,2.960526316,9,0,0,20240502
A,13,A - 13,1,42,300,7.310545667,6281.976304,16664,516.4974367,1920,7,0.023333333,0.171414286,0.003999667,1043.899594,97.66666667,293,2.333333333,7,0,0,20240502
A,13,A - 13,1,43,271,7.436997786,6378.89232,17166,512.4709486,1764,8,0.044280443,0.198178906,0.008216144,1139.302755,97.04797048,263,2.21402214,6,0.73800738,2,20240502
A,13,A - 13,1,44,222,7.419880293,6321.211053,18008,538.5562197,1879,5,0.027027027,0.18252,0.004662725,1239.487041,97.74774775,217,1.801801802,4,0.45045045,1,20240502
A,13,A - 13,1,45,195,7.150628333,6492.8309,16626,528.3778247,1875,5,0.035897436,0.1930825,0.007323333,1177.544568,97.43589744,190,1.538461538,3,1.025641026,2,20240502
A,13,A - 13,1,46,203,6.892390271,6327.992595,18303,545.3004101,1871,4,0.019704433,0.23131875,0.004558005,1070.138668,98.02955665,199,1.97044335,4,0,0,20240502
A,13,A - 13,1,47,163,6.641985123,6585.471012,16876,535.0609827,2030,4,0.030674847,0.129390625,0.004717485,1265.255427,97.54601227,159,1.840490798,3,0.613496933,1,20240502
A,13,A - 13,1,48,178,6.820574157,6469.040765,16996,549.5874438,2085,4,0.02247191,0.19329375,0.00434368,1146.907288,97.75280899,174,2.247191011,4,0,0,20240502
A,13,A - 13,1,49,144,6.151482639,6469.549289,13526,553.6066937,2060,0,0,,0,,100,144,0,0,0,0,20240502
A,13,A - 13,1,50,139,6.595741727,6438.483283,13608,554.4991977,1999,5,0.050359712,0.2006875,0.009392266,1214.174222,96.4028777,134,2.158273381,3,1.438848921,2,20240502
A,13,A - 13,1,51,147,6.911180272,6265.584796,13903,575.1130594,2127,8,0.054421769,0.155796875,0.008478741,1106.628782,94.55782313,139,5.442176871,8,0,0,20240502
A,13,A - 13,1,52,115,6.740381304,6448.698475,15019,558.7235923,2049,4,0.034782609,0.12780625,0.004445435,1161.574179,96.52173913,111,3.47826087,4,0,0,20240502
